question,long_answers,short_answers
where did the bataan death march take place,"The Bataan Death March (Filipino : Marts ang Himalayan SA Bataan ; Japanese : バターン 死 の 行進, Hepburn : Batman Shi no Kosher) was the forcible transfer by the Imperial Japanese Army of 60,000 -- 80,000 American and Filipino prisoners of war from Says ain Point, Bag ac, Bataan and Marvels to Camp O'Donnell, Caps, Tarmac, via San Fernando, Campania, where the prisoners were loaded onto trains. The transfer began on April 1942, after the three - month Battle of Bataan in the Philippines during World War II. The total distance marched from Marvels to San Fernando and from the Caps Train Station to Camp O'Donnell is variously reported by differing sources as between 60 and 69. Miles (96. And 112. Km) . Differing sources also report widely differing prisoner of war casualties prior to reaching Camp O'Donnell : from, 000 to 18,000 Filipino deaths and 500 to 650 American deaths during the march. The march was characterized by severe physical abuse and wanton killings, and was later judged by an Allied military commission to be a Japanese war crime.","From Says ain Point, Bag ac, Bataan and Marvels to Camp O'Donnell, Caps, Tarmac, Via San Fernando, Campania, Where the prisoners were loaded onto trains"
vince carter career high points in a game,Points : 51 (times),51
where do they put the chip in dogs,"In dogs and cats, chips are usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline. According to one reference, continental European pets get the implant on the left side of the neck. The chip can often be felt under the skin. Thin layers of connective tissue form around the implant and hold it in place.",Usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline
how long will it take voyager to pass through the oort cloud,"Space probes have yet to reach the area of the Oort cloud. Voyager, the fastest and farthest of the interplanetary space probes currently leaving the Solar System, will reach the Oort cloud in about 300 years and would take about 30,000 years to pass through it. However, around 2025, the radioisotope thermoelectric generators on Voyager will no longer supply enough power to operate any of its scientific instruments, preventing any exploration by Voyager. The other four probes currently escaping the Solar System either are already or are predicted to be non-functional when they reach the Oort cloud ; however, it may be possible to find an object from the cloud that has been knocked into the inner Solar System.","About 30,000 years"
an idiopathic condition associated with asprin treatment during certain viral infections,"The cause of Rae syndrome is unknown. It usually begins shortly after recovery from a viral infection, such as influenza or chickenpox. About 90 % of cases are associated with aspirin (salicylate) use in children. Inborn errors of metabolism are also a risk factor. Changes on blood tests may include a high blood ammonia level, low blood sugar level, and prolonged prothrombin time. Often the liver is enlarged.",Rae syndrome
what is the difference between devil's food and chocolate,"Devil's food cake is a moist, airy, rich chocolate layer cake. It is considered a counterpart to the white or yellow angel food cake. Because of differing recipes and changing ingredient availability over the course of the 20th century, it is difficult to precisely qualify what distinguishes devil's food from the more standard chocolate cake, though it traditionally has more chocolate than a regular chocolate cake, making it darker. The cake is usually paired with a rich chocolate frosting.",Traditionally has more chocolate than a regular chocolate cake
who is mariah carey talking about in we belong together,"The song's music video was filmed as a two - part story with `` It's Like That '', which featured Carey at her bachelorette party. The video for `` We Belong Together '' is a continuation focusing on Carey's wedding to an older and powerful man and ends with the singer eloping with her ex-lover. Rumors arose of the video's connection to her 1993 marriage to Tommy Mottola. Carey performed the song on several award shows and television appearances around the world, namely MTV Movie Awards, MTV Video Music Awards, Macy's Fourth of July Parade, The Oprah Winfrey Show and the 48th Grammy Awards. In Europe the song was performed at the Live charity concert, the Fashion Rocks in Monaco, and the German Bambi Awards. Carey performed the song on both her Adventures of Mimi and Angels Advocate Tours.",Her 1993 marriage to Tommy Mottola
where is the original statue of david in italy,"David has stood on display at Florence's Galleria dell'Academia since 1873. In addition to the full - sized replica occupying the spot of the original in front of the Palazzo Echo, a bronze version overlooks Florence from the Piazza Michelangelo. The plaster cast of David at the Victoria and Albert Museum has a detachable plaster fig leaf which is displayed nearby. Legend claims that the fig leaf was created in response to Queen Victoria's shock upon first viewing the statue's nudity, and was hung on the figure prior to royal visits, using two strategically placed hooks. In 2010, the Italian government began a campaign to solidify its claim to the iconic marble statue.",Florence's Galleria dell'Academia
when did the teton dam break in idaho,"The Eton Dam was an earthen dam on the Eton River in Idaho, United States. It was built by the Bureau of Reclamation, one of eight federal agencies authorized to construct dams. Located in the eastern part of the state, between Fremont and Madison counties, it suffered a catastrophic failure on June 1976, as it was filling for the first time.","June, 1976"
when was the movie stand by me made,"Stand by Me is a 1986 American coming - of - age comedy - drama film directed by Rob Racer and starring Will Wheaton, River Phoenix, Corey Feldman, and Jerry O'Connell. The film, whose plot is based on Stephen King's novella The Body (1982) and title is derived from Ben E. King's eponymous song, which plays over the ending credits, tells the story of four boys in a small town in Oregon who go on a hike to find the dead body of a missing child.",1986
is the eiffel tower made of steel or iron,"The Eiffel Tower (/ awful star. Ər / EYE - FCL TOW - or ; French : tour Eiffel, pronounced (tub ‿ NFL) listen) is a wrought iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower.",Wrought iron
what is the name of the youth loved by salmacis,"In Greek mythology, Hermaphroditus or Hermaphroditus / hərˌmæf. Rəˈdaɪ. Təs / (listen) (Ancient Greek : Ἑρμαφρόδιτος) was the son of Aphrodite and Hermes. According to Ovid, he was born a remarkably handsome boy with whom the water nymph Salamis fell in love and prayed to be united forever. A god, in answer to her prayer, merged their two forms into one and transformed them into an androgynous form. His name is compounded of his parents' names, Hermes and Aphrodite. He was one of the Erodes.",Hermaphroditus
when is the next magisterium book coming out,"The Silver Mask (October 26, 2017)","October 26, 2017"
what film has the song don't you forget about me,"`` Don't You (Forget About Me) '' is a 1985 pop song performed by Scottish rock band Simple Minds. The song is best known for being played during the opening and closing credits of the John Hughes film The Breakfast Club. It was written and composed by producer Keith Dorsey and Steve Schiff, the latter of whom was a guitarist and songwriter from the Nina Hagen band.",The Breakfast Club
when was the last time mount saint helens exploded,"On May 18, 1980, a major volcanic eruption occurred at Mount St. Helen's, a volcano located in Ska mania County, in the State of Washington. The eruption (a VEI event) was the most significant volcanic eruption to occur in the contiguous 48 U.S. states since the much smaller 1915 eruption of Lassen Peak in California. It has often been declared as the most disastrous volcanic eruption in U.S. history. The eruption was preceded by a two - month series of earthquakes and steam - venting episodes, caused by an injection of magma at shallow depth below the volcano that created a large bulge and a fracture system on the mountain's north slope.","May 18, 1980"
how many 7 elevens are in the world,"- Eleven Inc. is a Japanese - owned American international chain of convenience stores, headquartered in Dallas, Texas. The chain was known as Tote'm Stores until it was renamed in 1946. Its parent company, Seven - Eleven Japan Co., Ltd. , operates, franchises, and licenses 66,579 stores in 17 countries as of 30 June 2018. Seven - Eleven Japan is headquartered in Child, Tokyo and held by the Seven & I Holdings Co.","66,579"
when do booth and brennan become a couple,"At the start of Season, a very pregnant Brennan and Booth are a couple but are going back and forth between apartments. Booth suggests that they should have their own place, whereas Brennan wants Booth to move into her apartment. It causes a minor rift between them, but is resolved when Booth admits why he wants to move into a new house and Brennan having some time to think over it says it's a good idea because she'd need him practically, emotionally and sexually. In episode, `` The Crack in the Code, '' they decide to buy a two - story house in the suburbs -- which they jokingly called `` The Mighty Hut '' -- that Booth found at a police auction and renovate it, (according to a mailed check sent to Brennan in `` The Heiress in the Hill '', in season, the `` Mighty Hut '' is address is `` 1297 Janus Street, Washington DC, 20002 '') . In episode, `` The Prisoner in the Pipe '', Brennan goes into labor inside a prison just as she discovers who killed in an inmate there and Booth rushes her out with the intention to take her to the nearest hospital, but they both know she won't make it in time. This leads them to driving to an inn close to the prison. At first, they are rejected and are told to leave, but after some desperate pleading from an agonized Brennan, the two of them are led to a stall where she gives birth to their daughter, Christine Angela Booth (named after Temperance's mother, Christine Brennan, and Temperance's best friend Angela Montenegro) . Some time after the delivery, Temperance and Seemed both go back to their home where they celebrate with their friends from the Jeffersonian, who brought dinners that would last a few nights and a few baby supplies. In `` The Past in the Present '', Brennan becomes the prime suspect in the murder of her schizophrenic friend, Ethan Sawyer, after supposedly threatening to kill Christine. Max advises Brennan to get off the grid and go into hiding, but she and Booth do not follow up at this suggestion. However, at the end of the episode, after Christine is christened in a Catholic Church, it is revealed Brennan decided to take her father's advice and flee with her daughter until her name is cleared. Just before Brennan flees town with Christine, she tells Booth she loves him and not just because of their daughter. After she is cleared of Sawyer's murder, Brennan, Booth and Christine resume their family life.",At the start of Season
who sang nice one cyril nice one son,"`` Nice One Cyril '' is a single by Cockerel Chorus written by Harold Spiro and Helen Clarke. The song title is a reference to Cyril Knowles, a left back who played for Tottenham Hotspur. It was released before the 1973 Football League Cup Final where Tottenham played Norwich City. It reached No. 14 on the British single chart after Tottenham won, and its writers Spiro and Clarke received an Ivor Novella Award for Best Novel or Unusual Song in 1974.",Cockerel Chorus
who sang red red wine in the 80's,"`` Red Wine '' is a song originally written, performed, and recorded by American singer Neil Diamond in 1967. It is included on Neil's second studio album, Just for You. The lyrics are sung from the perspective of a person who finds that drinking red wine is the only way to forget his woes.",Neil Diamond
who wrote the christmas carol do you hear what i hear,"`` Do You Hear What I Hear ? '' is a song written in October 1962, with lyrics by Noel Reyna and music by Gloria Shane Baker. The pair, married at the time, wrote it as a plea for peace during the Cuban Missile Crisis. Reyna had been invited by a record producer to write a Christmas song, but he was hesitant due to the commercialism of the Christmas holiday. It has sold tens of millions of copies and has been covered by hundreds of artists.","Noel Reyna, Gloria Shane Baker"
who plays olivia benson on law and order,"Marisa Madonna Habitat (/ məˈrɪʃkə ˈhɑːrɡɪteɪ / me - IRISH - km HAD - fish - day ; born January 23, 1964) is an American actress best known for her role as Detective / Sergeant / Lieutenant Olivia Benson on the NBC drama series Law & Order : Special Victims Unit, for which she has earned multiple awards and nominations, including winning a Primetime Emmy Award and Golden Globe Award.",Marisa Madonna Habitat
how many copies did fifty shades of grey sell,"Fifty Shades of Grey has topped bestseller lists around the world, selling over 125 million copies worldwide by June 2015. It has been translated into 52 languages, and set a record in the United Kingdom as the fastest - selling paperback of all time. Critical reception of the book, however, has tended towards the negative, with the quality of its prose generally seen as poor. Universal Pictures and Focus Features produced a film adaptation, which was released on 13 February 2015 and also received generally unfavorable reviews.",Over 125 million copies
when was the city of green bay founded,"Nicole founded a small trading post here in 1634, originally named La Base or La Base DES Plants (French for `` the Bay of Stinking Waters '') . Nicolet's settlement was one of the oldest European permanent settlements in America.",1634
where do the ilium the ischium and the pubis meet,"The hip bone is formed by three parts : ilium, schism, and pubis. At birth, these three components are separated by hyaline cartilage. They join each other in a Y - shaped portion of cartilage in the acetabulum. By the end of puberty the three regions will have fused together, and by the age of 25 they will have ossified. The two hip bones join each other at the pubic symphysis. Together with the sacrum and coccyx, the hip bones form the pelvis.",acetabulum
who is the founder of pak n save,"PAK'save was developed following a trip by a group of Foodstuffs executives to the United States in 1985. On that visit they saw Cub Foods, operated by SuperValu, PAK' n Save operated by Safeway, and other box warehouse supermarkets. Foodstuffs then copied this format in New Zealand. The original PAK'save format was almost an identical copy of Safeway's PAK' n Save chain in northern California.",Foodstuffs
how many species of plants are found in india,"The flora of India is one of the richest in the world due to the wide range of climate, topology and habitat in the country. There are estimated to be over 18,000 species of flowering plants in India, which constitute some - percent of the total plant species in the world. India is home to more than 50,000 species of plants, including a variety of endemics. The use of plants as a source of medicines has been an integral part of life in India from the earliest times. There are more than 3000 Indian plant species officially documented as possessing great medicinal potential. India is divided into eight main logistic regions : Western Himalayas, Eastern Himalayas, Assam, Indus plain, Ganges plain, the Deccan, Malabar and the Andaman Islands.","More than 50,000"
which non-british company owns both the famous british rolls- royce and mini brands,"The origins of the UK automotive industry date back to the final years of the 19th century. By the 1950s the UK was the second - the largest manufacturer of cars in the world (after the United States) and the largest exporter. However, in subsequent decades the industry experienced considerably lower growth than competitor nations such as France, Germany and Japan and by 2008 the UK was the 12th - the largest producer of cars measured by volume. Since the early 1990s many British car marques have been acquired by foreign companies including BMW (Mini and Rolls - Royce) , SAIC (MG) , TATA (Jaguar and Land Rover) and Volkswagen Group (Bentley) . Rights to many currently dormant marques, including Austin, Riley, Rover and Triumph, are also owned by foreign companies.",BMW
how many times have the dodgers gone to world series,"The Dodgers share a fierce rivalry with the San Francisco Giants, the oldest rivalry in baseball, dating back to when the two franchises played in New York City. Both teams moved west for the 1958 season. The Brooklyn Dodgers and Los Angeles Dodgers have collectively appeared in the World Series 19 times, while the New York Giants and San Francisco Giants have collectively appeared 20 times and have been invited 21 times. The Giants have won two more World Series () ; the Dodgers have won 22 National League pennants, while the Giants hold the record with 23. Although the two franchises have enjoyed near equal success, the city rivalries are rather lopsided and in both cases, a team's championships have predated to the other's first one in that particular location. When the two teams were based in New York, the Giants won five World Series championships, and the Dodgers one. After the move to California, the Dodgers have won five in Los Angeles, the Giants have won three in San Francisco.",19
at what level is the clavicle with reference to the ribs,"The collarbone is a large doubly curved long bone that connects the arm to the trunk of the body. Located directly above the first rib it acts as a strut to keep the scapula in place so that the arm can hang freely. Medially, it articulates with the manubrium of the sternum (breastbone) at the sternoclavicular joint. At its lateral end it articulates with the acromion, a process of the scapula (shoulder blade) at the acromioclavicular joint. It has a rounded medial end and a flattened lateral end.",Directly above the first rib
when was the writ of habeas corpus created,"Habeas corpus derives from the English common law where the first recorded usage was in 1305, in the reign of King Edward I of England. The procedure for the issuing of writs of habeas corpus was first codified by the Habeas Corpus Act 1679, following judicial rulings which had restricted the effectiveness of the writ. A previous act had been passed in 1640 to overturn a ruling that the command of the Queen was a sufficient answer to a petition of habeas corpus. Winston Churchill, in his chapter on the English Common Law in The Birth of Britain, explains the process thus :",1679
where are they playing the john deere classic golf tournament,"The John Deere Classic is a professional golf tournament on the PGA Tour. It is played annually in July, the week before the British Open, at TPC Deere Run in the Quad Cities community of Silvia, Illinois.","TPC Deere Run in the Quad Cities community of Silvia, Illinois"
what types of elements are involved in covalent bonding,"A covalent bond, also called a molecular bond, is a chemical bond that involves the sharing of electron pairs between atoms. These electron pairs are known as shared pairs or bonding pairs, and the stable balance of attractive and repulsive forces between atoms, when they share electrons, is known as covalent bonding. For many molecules, the sharing of electrons allows each atom to attain the equivalent of a full outer shell, corresponding to a stable electronic configuration.","electron, atoms"
name the highest bridge in the world built by indian army,"The Daily Bridge is the bridge at the highest elevation in the world. This bridge is located in the Himalayan mountains between the Dreys River and Sure River in the Kazakh Valley in the Indian state of Jammy and Kashmir. It is 30 meters (98 ft) long and is at an altitude of, 602 meters (18,379 ft) above the mean sea level. It is a bailey bridge built in 1982 by the Indian Army.",Daily Bridge
who wrote an article on war finance titled how to pay for the war,"How to Pay for the War : A Radical Plan for the Chancellor of the Exchequer is a book by John Maynard Keynes, published in 1940 by Macmillan and Co., Ltd ... It is an application of Keynesian thinking and principles to a practical economic problem and a relatively late text. Keynes died in 1946.",John Maynard Keynes
where did the cavs play before the gund arena,"The arena opened in October 1994 as part of the Gateway Sports and Entertainment Complex with adjacent Progressive Field, which opened in April of that year. It is named for the retail mortgage lender Quicken Loans, whose chairman and founder is Dan Gilbert, the majority owner of the Cavaliers, Monsters, and Gladiators. From its opening until August 2005, it was known as Gun Arena, named for former Cavaliers' owner Gordon Gun, after he paid for the naming rights. The Q replaced the Rich field Coliseum as the primary entertainment facility for the region and the home of the Cavaliers, and supplanted the Holstein Center at Cleveland State University, which opened in 1990, as the primary concert and athletic venue in downtown Cleveland.",The Rich field Coliseum
who won the arms race in the cold war,"Throughout the 1970s, both the Soviet Union and United States replaced old missiles and warheads with newer, more powerful and effective ones. This continued to worsen Soviet - U.S. relations. On June 18, 1979, the SALT II treaty was signed in Vienna. This treaty limited both sides' nuclear arsenals and technology. However, this treaty as well as the era of the détente ended with the Soviet Union's invasion of Afghanistan in January 1980. The United States once again significantly increased military and nuclear spending, while the Soviets were unable to respond and continued to pursue the détente.",The United States
what is the proper term used for the signature given by celebrities to their fans,Autograph also refers to a famous person's artistic signature. This term is used in particular for the practice of collecting autographs of celebrities. The hobby of collecting autographs is known as filmography.,Autograph
who owns willy wonka and the chocolate factory,"The film tells the story of Charlie Bucket (Peter Rostrum) as he receives a Golden Ticket and visits Willy Wonka's chocolate factory with four other children from around the world. Filming took place in Munich in 1970, and the film was released by Paramount Pictures on June 30, 1971. With a budget of just $ million, the film received generally positive reviews and earned $ million by the end of its original run. Paramount distributed the film until 1977, and beginning in the 1980s, Warner Bros. assumed control of the rights for home entertainment purposes. The film then made an additional $21 million during its re-release by Warner Bros. under its Family Entertainment banner in 1996. The film became highly popular in part through repeated television airings and home entertainment sales. In 1972, the film received an Academy Award nomination for Best Original Score, and Wilder was nominated for a Golden Globe as Best Actor in a Musical or Comedy, but lost both to Fiddler on the Roof. The film also introduced the song `` The Candy Man '', which went on to become a popular hit when recorded by Sammy Davis Jr. In 2014, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being `` culturally, historically, or aesthetically significant ''.",Warner Bros.
who directed sign of the times music video,"Directed by Wood kid, the song's music video was released on May. It features Styles singing in a meadow, and soaring in the skies, walking on water. A writer from USA Today described Styles to be `` auditioning to be Marvel Comics next superhero or in a new biblical epic ''. It was filmed on the Isle of Skye in Scotland. The video's stunt pilot, Will Banks, stated that Styles flew more than, 550 feet high during the shoot. Banks also claimed that no green screen or CGI effects were employed during filming. A stunt double was used for some scenes.",Wood kid
